Name,Cost_Capped,Cuisine_Count,Avg_Rating,Positive_Count,Negative_Count,Neutral_Count,Cost_Log,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster
Beyond Flavours,800.0,6,4.28,82,12,6,6.68586094706836,0,1,1
Paradise,800.0,3,4.7,96,3,1,6.68586094706836,0,1,0
Flechazo,1300.0,4,4.66,91,6,3,7.170888478512505,0,1,-1
Shah Ghouse Hotel & Restaurant,800.0,5,3.21,53,35,12,6.68586094706836,1,0,-1
Over The Moon Brew Company,1200.0,5,4.34,87,7,6,7.0909098220799835,0,1,1
The Fisherman's Wharf,1500.0,5,4.22,85,10,5,7.313886831633462,0,1,1
eat.fit,500.0,4,3.2,51,34,15,6.2166061010848646,1,0,2
Shah Ghouse Spl Shawarma,300.0,1,3.43,59,33,8,5.707110264748875,2,0,3
Hyper Local,1000.0,5,3.64,64,22,14,6.90875477931522,1,0,4
Cream Stone,350.0,2,3.845,72,21,7,5.860786223465865,0,0,2
Sardarji's Chaats & More,400.0,3,3.25,55,30,15,5.993961427306569,2,0,2
Barbeque Nation,1600.0,4,4.12,81,9,10,7.3783837129967145,0,1,1
Absolute Sizzlers,750.0,3,3.62,64,27,9,6.621405651764134,1,0,2
The Lal Street - Bar Exchange,1300.0,3,3.45,61,21,18,7.170888478512505,1,0,4
AB's - Absolute Barbecues,1500.0,3,4.88,97,2,1,7.313886831633462,0,1,0
KFC,500.0,2,2.85,42,44,14,6.2166061010848646,2,2,2
NorFest - The Dhaba,550.0,1,4.03,78,9,13,6.311734809152915,0,0,-1
Hotel Zara Hi-Fi,400.0,2,2.4,30,64,6,5.993961427306569,2,2,-1
10 Downing Street,1900.0,3,3.8,74,12,14,7.550135342488429,0,1,-1
Pakwaan Grand,400.0,3,2.71,34,46,20,5.993961427306569,2,2,-1
13 Dhaba,450.0,1,3.48,63,29,8,6.111467339502679,2,0,3
Jonathan's Kitchen - Holiday Inn Express & Suites,1900.0,5,3.535,63,25,12,7.550135342488429,1,0,4
B-Dubs,1600.0,1,4.81,96,2,2,7.3783837129967145,0,1,-1
Amul,150.0,2,3.9292929292929295,72,21,6,5.017279836814924,0,0,-1
SKYHY,1400.0,3,3.37,53,25,22,7.244941546337007,1,0,2
Tiki Shack,1000.0,1,3.48,62,24,14,6.90875477931522,1,0,2
Mustang Terrace Lounge,1300.0,5,3.31,58,28,14,7.170888478512505,1,0,4
"3B's - Buddies, Bar & Barbecue",1100.0,3,4.76,93,6,1,7.00397413672268,0,1,0
Behrouz Biryani,600.0,2,2.825,43,47,10,6.398594934535208,2,2,2
Hunger Maggi Point,200.0,1,3.12,46,37,17,5.303304908059076,2,2,-1
Pot Pourri,900.0,3,3.32,54,26,20,6.803505257608338,1,0,2
Pista House,1000.0,5,3.23,55,29,16,6.90875477931522,1,0,4
Marsala Food Company,700.0,3,3.46,61,27,12,6.55250788703459,1,0,2
Club Rogue,900.0,2,2.88,44,41,15,6.803505257608338,2,2,2
Mazzo - Marriott Executive Apartments,1700.0,4,4.19,77,9,14,7.438971592395862,0,1,1
Green Bawarchi Restaurant,700.0,3,3.49,57,28,15,6.55250788703459,1,0,2
Banana Leaf Multicuisine Restaurant,700.0,5,3.69,68,18,14,6.55250788703459,1,0,4
Kritunga Restaurant,500.0,4,3.47,60,32,8,6.2166061010848646,1,0,-1
The Glass Onion,1200.0,4,3.83,73,19,8,7.0909098220799835,0,0,2
Deli 9 Bistro,700.0,3,3.82,72,15,13,6.55250788703459,0,0,2
Frio Bistro,1200.0,4,3.61,60,18,22,7.0909098220799835,1,0,-1
Karachi Bakery,500.0,3,3.8,71,20,9,6.2166061010848646,0,0,2
Karachi Cafe,600.0,3,3.715,71,18,11,6.398594934535208,0,0,2
The Foodie Monster Kitchen,500.0,3,3.58,60,21,19,6.2166061010848646,1,0,2
La La Land - Bar & Kitchen,1000.0,4,3.19,51,30,19,6.90875477931522,1,0,2
Owm Nom Nom,900.0,4,3.29,48,32,20,6.803505257608338,1,0,2
Ulavacharu,1400.0,3,3.225,51,32,17,7.244941546337007,1,0,2
Shanghai Chef 2,800.0,4,3.06,48,36,16,6.68586094706836,1,0,2
Udipi's Upahar,500.0,3,4.03,76,14,10,6.2166061010848646,0,0,2
Mathura Vilas,500.0,3,2.82,41,43,16,6.2166061010848646,2,2,2
Gal Punjab Di,800.0,2,3.61,64,17,19,6.68586094706836,1,0,2
Hitech Bawarchi Food Zone,500.0,3,3.05,44,44,12,6.2166061010848646,2,2,2
Biryanis And More,500.0,3,3.74,69,21,10,6.2166061010848646,0,0,2
Diners Pavilion,1200.0,3,3.32,52,28,20,7.0909098220799835,1,0,2
Asian Meal Box,200.0,1,2.58,33,52,15,5.303304908059076,2,2,-1
Cafe Eclat,700.0,2,3.59,64,19,17,6.55250788703459,1,0,2
Feast - Sheraton Hyderabad Hotel,2250.0,4,4.22,82,12,6,7.719129840906732,0,1,1
Being Hungry,450.0,2,3.6464646464646466,64,28,7,6.111467339502679,0,0,2
Tempteys,350.0,2,3.85,72,20,8,5.860786223465865,0,0,2
KS Bakers,200.0,3,3.965,67,13,20,5.303304908059076,1,0,2
PourHouse7,1200.0,4,3.86,68,18,14,7.0909098220799835,1,0,4
Prism Club & Kitchen,1200.0,4,4.215,81,12,7,7.0909098220799835,0,1,1
Shree Santosh Dhaba Family Restaurant,500.0,3,2.83,38,47,15,6.2166061010848646,2,2,2
Dine O China,850.0,3,3.37,56,34,10,6.7464121285733745,1,0,2
Hyderabad Chefs,600.0,2,3.7857142857142856,66,24,8,6.398594934535208,0,0,2
Komatose - Holiday Inn Express & Suites,1500.0,4,3.69,65,21,14,7.313886831633462,1,0,4
Aromas@11SIX,750.0,4,3.46,55,28,17,6.621405651764134,1,0,2
Yum Yum Tree - The Arabian Food Court,1200.0,2,3.56,58,26,16,7.0909098220799835,1,0,2
The Tilt Bar Republic,1500.0,3,3.845,70,12,18,7.313886831633462,1,1,-1
The Indi Grill,1500.0,3,4.6,92,3,5,7.313886831633462,0,1,-1
Urban Asia - Kitchen & Bar,1100.0,5,3.65,65,19,16,7.00397413672268,1,0,4
Eat India Company,1300.0,3,3.26,49,33,18,7.170888478512505,1,0,2
Labonel,1000.0,2,3.915,73,16,11,6.90875477931522,0,0,2
Driven Cafe,600.0,3,3.745,70,10,20,6.398594934535208,1,0,2
Faasos,600.0,3,3.03,48,38,14,6.398594934535208,2,2,2
Royal Spicy Restaurant,700.0,2,3.74,67,27,6,6.55250788703459,0,0,2
The Old Madras Baking Company,350.0,1,3.62,66,16,18,5.860786223465865,1,0,-1
Squeeze @ The Lime,650.0,4,3.815,72,20,8,6.478509642208569,0,0,2
Khaan Saab,1100.0,2,3.8,72,22,6,7.00397413672268,0,0,2
Olive Garden,700.0,4,3.7676767676767677,67,14,18,6.55250788703459,1,0,4
Tandoori Food Works,500.0,3,3.27,56,34,10,6.2166061010848646,2,0,2
Delhi-39,600.0,2,2.975,44,43,13,6.398594934535208,2,2,2
Al Saba Restaurant,750.0,5,3.1363636363636362,42,29,28,6.621405651764134,1,0,-1
GD's,500.0,2,3.96,73,18,9,6.2166061010848646,0,0,2
T Grill,700.0,4,3.17,48,31,21,6.55250788703459,1,0,2
Momos Delight,200.0,1,3.725,68,25,7,5.303304908059076,2,0,-1
The Chocolate Room,600.0,2,2.83,35,45,20,6.398594934535208,2,2,-1
American Wild Wings,600.0,4,3.9740259740259742,57,14,6,6.398594934535208,0,0,2
Domino's Pizza,400.0,2,3.0707070707070705,49,45,5,5.993961427306569,2,2,-1
Mohammedia Shawarma,150.0,2,2.99,45,48,7,5.017279836814924,2,2,-1
Arena Eleven,1600.0,1,4.117647058823529,66,9,10,7.3783837129967145,0,0,-1
Cascade - Radisson Hyderabad Hitec City,1800.0,4,4.26,76,5,19,7.496097345175956,0,1,-1
Collage - Hyatt Hyderabad Gachibowli,2250.0,5,3.41,56,28,16,7.719129840906732,1,0,4
Zing's Northeast Kitchen,550.0,2,3.65,64,23,13,6.311734809152915,1,0,2
Dunkin' Donuts,550.0,5,3.095,46,33,21,6.311734809152915,1,0,2
Desi Bytes,400.0,2,2.9,42,43,15,5.993961427306569,2,2,2
Hyderabadi Daawat,600.0,3,3.83,74,19,7,6.398594934535208,0,0,2
Zega - Sheraton Hyderabad Hotel,1750.0,2,4.45,89,3,8,7.467942332285852,0,1,-1
Triptify,400.0,1,3.55,63,28,9,5.993961427306569,2,0,3
Chinese Pavilion,1000.0,2,3.745,64,12,24,6.90875477931522,1,0,-1
